"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear","ride_length","day_of_week","month","start_hour","end_hour","tripduration_mins","duration_diff","hour","weekday","route_count"
25811053,2019-12-03 08:46:57,2019-12-03 08:54:13,2820,435,92,"Carpenter St & Huron St",77,"Clinton St & Madison St","Customer","unknown","NA",7.26666666666667,"Tuesday","Dec","08","08",7.25,0.0166666666666666,8,"Tue",155
25811170,2019-12-03 08:55:01,2019-12-03 09:02:00,6072,418,192,"Canal St & Adams St",43,"Michigan Ave & Washington St","Customer","Male","1995",6.98333333333333,"Tuesday","Dec","08","09",6.96666666666667,0.0166666666666666,8,"Tue",3538
25819017,2019-12-04 08:27:31,2019-12-04 08:30:25,2908,173,56,"Desplaines St & Kinzie St",133,"Kingsbury St & Kinzie St","Customer","Male","1997",2.9,"Wednesday","Dec","08","08",2.88333333333333,0.0166666666666666,8,"Wed",1146
25819390,2019-12-04 08:45:57,2019-12-04 08:52:27,2651,389,41,"Federal St & Polk St",287,"Franklin St & Monroe St","Customer","Male","1995",6.5,"Wednesday","Dec","08","08",6.48333333333333,0.0166666666666666,8,"Wed",292
25819455,2019-12-04 08:49:40,2019-12-04 08:56:28,5896,407,192,"Canal St & Adams St",43,"Michigan Ave & Washington St","Customer","Male","1995",6.8,"Wednesday","Dec","08","08",6.78333333333333,0.0166666666666666,8,"Wed",3538
25819563,2019-12-04 08:57:30,2019-12-04 09:02:03,1910,272,80,"Aberdeen St & Monroe St",73,"Jefferson St & Monroe St","Customer","Male","1994",4.55,"Wednesday","Dec","08","09",4.53333333333333,0.0166666666666666,8,"Wed",538
25823524,2019-12-04 17:32:38,2019-12-04 17:39:52,3760,433,39,"Wabash Ave & Adams St",321,"Wabash Ave & 9th St","Customer","Male","1995",7.23333333333333,"Wednesday","Dec","17","17",7.21666666666667,0.0166666666666666,17,"Wed",305
25823633,2019-12-04 17:38:54,2019-12-04 17:42:59,3570,244,67,"Sheffield Ave & Fullerton Ave",343,"Racine Ave & Wrightwood Ave","Customer","Female","1995",4.08333333333333,"Wednesday","Dec","17","17",4.06666666666667,0.0166666666666666,17,"Wed",998
25823753,2019-12-04 17:44:35,2019-12-04 17:50:12,1617,336,432,"Clark St & Lunt Ave",520,"Greenview Ave & Jarvis Ave","Customer","Male","1988",5.61666666666667,"Wednesday","Dec","17","17",5.6,0.0166666666666666,17,"Wed",116
25823827,2019-12-04 17:49:42,2019-12-04 17:57:23,4577,460,57,"Clinton St & Roosevelt Rd",89,"Financial Pl & Ida B Wells Dr","Customer","Male","1984",7.68333333333333,"Wednesday","Dec","17","17",7.66666666666667,0.0166666666666666,17,"Wed",99
25828017,2019-12-05 08:41:32,2019-12-05 08:48:54,4304,441,41,"Federal St & Polk St",287,"Franklin St & Monroe St","Customer","Male","1995",7.36666666666667,"Thursday","Dec","08","08",7.35,0.0166666666666666,8,"Thu",292
25832157,2019-12-05 17:11:01,2019-12-05 17:17:48,2717,406,106,"State St & Pearson St",194,"Wabash Ave & Wacker Pl","Customer","Male","1990",6.78333333333333,"Thursday","Dec","17","17",6.76666666666667,0.0166666666666666,17,"Thu",195
25832322,2019-12-05 17:18:19,2019-12-05 17:22:20,5697,240,423,"University Ave & 57th St",345,"Lake Park Ave & 56th St","Customer","Male","1993",4.01666666666667,"Thursday","Dec","17","17",4,0.0166666666666666,17,"Thu",1591
25832352,2019-12-05 17:19:58,2019-12-05 17:27:04,6045,425,185,"Stave St & Armitage Ave",506,"Spaulding Ave & Armitage Ave","Customer","unknown","NA",7.1,"Thursday","Dec","17","17",7.08333333333333,0.0166666666666666,17,"Thu",104
25832902,2019-12-05 17:46:17,2019-12-05 17:53:51,3799,453,38,"Clark St & Lake St",110,"Dearborn St & Erie St","Customer","Male","1974",7.56666666666667,"Thursday","Dec","17","17",7.55,0.0166666666666666,17,"Thu",264
25832918,2019-12-05 17:47:19,2019-12-05 17:54:58,1592,458,328,"Ellis Ave & 58th St",425,"Harper Ave & 59th St","Customer","unknown","NA",7.65,"Thursday","Dec","17","17",7.63333333333333,0.0166666666666666,17,"Thu",516
25833224,2019-12-05 17:56:06,2019-12-05 18:00:19,6201,252,420,"Ellis Ave & 55th St",426,"Ellis Ave & 60th St","Customer","unknown","NA",4.21666666666667,"Thursday","Dec","17","18",4.2,0.0166666666666666,17,"Thu",1663
25837111,2019-12-06 08:40:15,2019-12-06 08:46:59,6108,403,447,"Glenwood Ave & Morse Ave",451,"Sheridan Rd & Loyola Ave","Customer","unknown","NA",6.73333333333333,"Friday","Dec","08","08",6.71666666666667,0.0166666666666666,8,"Fri",161
25840851,2019-12-06 17:12:27,2019-12-06 17:18:12,627,344,308,"Seeley Ave & Roscoe St",230,"Lincoln Ave & Roscoe St","Customer","unknown","NA",5.75,"Friday","Dec","17","17",5.73333333333333,0.0166666666666666,17,"Fri",417
25841248,2019-12-06 17:38:24,2019-12-06 17:42:37,1181,252,256,"Broadway & Sheridan Rd",299,"Halsted St & Roscoe St","Customer","Female","1991",4.21666666666667,"Friday","Dec","17","17",4.2,0.0166666666666666,17,"Fri",255
25841255,2019-12-06 17:38:48,2019-12-06 17:45:30,11,401,210,"Ashland Ave & Division St",305,"Western Ave & Division St","Customer","Male","1994",6.7,"Friday","Dec","17","17",6.68333333333333,0.0166666666666666,17,"Fri",728
25856310,2019-12-09 17:04:52,2019-12-09 17:07:38,5926,165,295,"Broadway & Argyle St",325,"Clark St & Winnemac Ave","Customer","unknown","NA",2.76666666666667,"Monday","Dec","17","17",2.75,0.0166666666666666,17,"Mon",797
25860106,2019-12-10 08:26:21,2019-12-10 08:30:36,2449,254,119,"Ashland Ave & Lake St",656,"Damen Ave & Walnut (Lake) St (*)","Customer","Male","1988",4.25,"Tuesday","Dec","08","08",4.23333333333333,0.0166666666666666,8,"Tue",128
25860264,2019-12-10 08:36:24,2019-12-10 08:43:35,5325,430,192,"Canal St & Adams St",43,"Michigan Ave & Washington St","Customer","Male","1995",7.18333333333333,"Tuesday","Dec","08","08",7.16666666666667,0.0166666666666666,8,"Tue",3538
25862731,2019-12-10 17:10:59,2019-12-10 17:13:40,81,160,295,"Broadway & Argyle St",325,"Clark St & Winnemac Ave","Customer","unknown","NA",2.68333333333333,"Tuesday","Dec","17","17",2.66666666666667,0.0166666666666666,17,"Tue",797
25862828,2019-12-10 17:18:26,2019-12-10 17:23:17,824,290,260,"Kedzie Ave & Milwaukee Ave",500,"Central Park Ave & Elbridge Ave","Customer","Male","1983",4.85,"Tuesday","Dec","17","17",4.83333333333333,0.0166666666666666,17,"Tue",168
25868357,2019-12-11 17:58:13,2019-12-11 18:03:41,618,327,115,"Sheffield Ave & Wellington Ave",153,"Southport Ave & Wellington Ave","Customer","Male","1986",5.46666666666667,"Wednesday","Dec","17","18",5.45,0.0166666666666666,17,"Wed",1082
25870910,2019-12-12 08:22:59,2019-12-12 08:26:35,1031,215,56,"Desplaines St & Kinzie St",133,"Kingsbury St & Kinzie St","Customer","Male","1997",3.6,"Thursday","Dec","08","08",3.58333333333333,0.0166666666666666,8,"Thu",1146
25874163,2019-12-12 17:03:37,2019-12-12 17:07:47,6239,249,67,"Sheffield Ave & Fullerton Ave",190,"Southport Ave & Wrightwood Ave","Customer","Male","1996",4.16666666666667,"Thursday","Dec","17","17",4.15,0.0166666666666666,17,"Thu",1505
25874331,2019-12-12 17:12:09,2019-12-12 17:19:28,3354,438,185,"Stave St & Armitage Ave",506,"Spaulding Ave & Armitage Ave","Customer","unknown","NA",7.31666666666667,"Thursday","Dec","17","17",7.3,0.0166666666666666,17,"Thu",104
